Apodo,Nombre,Fecha,Ciudad,Provincia,País,PJ,PT,PC,PS,PX,PG,PE,PP,Min,G,GP,GPP,GE,TA,TR,EI,EF,Altura,Peso
Górriz,Alberto Górriz Echarte,16/02/1958,Irun,Gipuzkoa,España,12,8,8,4,0,8,1,3,831,1,0,0,0,0,0,30,32,184.0,79.0
Vitolo,Víctor Machín Pérez,02/11/1989,Las Palmas de Gran Canaria,Las Palmas,España,12,7,0,5,7,7,4,1,674,4,0,0,0,2,0,25,28,185.0,80.0
César,César Rodríguez Álvarez,06/07/1920,León,León,España,12,10,10,2,0,5,4,3,988,6,2,0,0,0,0,24,32,172.0,68.0
Solozábal,Roberto Solozábal Villanueva,15/09/1969,Madrid,Madrid,España,12,12,9,0,3,5,4,3,948,0,0,0,0,0,0,21,23,180.0,82.0
César,César Martín Villar,03/04/1977,Oviedo,Asturias,España,12,6,5,6,1,9,2,1,723,3,0,0,0,1,0,22,27,185.0,81.0
Donato,Donato Gama da Silva,30/12/1962,Río de Janeiro,Extranjero,Brasil,12,9,7,3,2,6,6,0,849,3,0,0,0,1,0,31,33,178.0,80.0
Rubén Cano,Rubén Andrés Cano Martínez,05/02/1951,San Rafael,Extranjero,Argentina,12,8,5,4,3,7,3,2,706,4,0,0,0,2,0,26,28,182.0,77.0
Pedri,Pedro González López,25/11/2002,Tegueste,Santa Cruz de Tenerife,España,12,9,7,3,2,6,6,0,942,0,0,1,0,0,0,18,18,174.0,60.0
Soldado,Roberto Soldado Rillo,27/05/1985,València,Valencia,España,12,5,2,7,3,11,1,0,585,7,0,0,0,0,0,22,28,179.0,81.0
De Pedro,Francisco Javier de Pedro Falque,04/08/1973,Viniegra de Abajo,La Rioja,España,12,10,3,2,7,6,4,2,727,2,0,0,0,3,0,25,29,180.0,78.0
Carmelo Cedrún,Carmelo Cedrún Ochandategui,06/12/1930,Amorebieta-Etxano,Bizkaia,España,13,12,12,1,0,4,3,6,1154,0,0,0,20,0,0,23,32,184.0,78.0
Manuel Pablo,Manuel Pablo García Díaz,25/01/1976,Bañaderos,Las Palmas,España,13,10,9,3,1,7,3,3,1001,0,0,0,0,1,0,24,28,176.0,70.0
Leal,Eugenio Leal Vargas,13/05/1953,Carriches,Toledo,España,13,10,8,3,2,7,2,4,971,1,0,0,0,1,0,23,25,178.0,74.0
Aduriz,Aritz Aduriz Zubeldia,11/02/1981,Donostia/San Sebastián,Gipuzkoa,España,13,5,1,8,5,7,3,3,535,2,0,0,0,0,0,29,36,181.0,77.0
Manjarín,Javier Manjarín Pereda,31/12/1969,Gijón,Asturias,España,13,9,5,4,4,9,4,0,737,2,0,0,0,1,0,25,27,173.0,73.0
Marcos Llorente,Marcos Llorente Moreno,30/01/1995,Las Rozas,Madrid,España,13,8,7,5,1,5,7,1,838,0,0,0,0,1,0,26,26,184.0,73.0
San José,Isidoro San José Pozo,27/10/1955,Madrid,Madrid,España,13,13,11,0,1,4,4,5,1095,0,0,0,0,1,1,22,24,176.0,69.0
Capón,José Luis Capón González,06/02/1948,Madrid,Madrid,España,13,12,12,1,0,6,4,3,1124,1,0,0,0,1,0,25,29,175.0,72.0
Marcelino,Marcelino Pérez Ayllón,13/08/1955,Sabadell,Barcelona,España,13,12,11,1,1,7,2,4,1043,0,0,0,0,1,0,22,23,171.0,68.0
Olmo,Antonio Olmo Ramírez,18/01/1954,Sabadell,Barcelona,España,13,9,8,4,1,7,2,4,956,0,0,0,0,1,0,23,26,181.0,79.0
Tamudo,Raúl Tamudo Montero,19/10/1977,Santa Coloma de Gramenet,Barcelona,España,13,4,1,9,3,6,6,1,584,5,0,0,0,0,0,22,30,177.0,74.0
Guti,José María Gutiérrez Hernández,31/10/1976,Torrejón de Ardoz,Madrid,España,13,4,0,9,4,9,2,2,573,3,0,0,0,0,0,22,28,181.0,76.0
Calleja,Isacio Calleja García,06/12/1936,Valle de Cerrato,Palencia,España,13,13,11,0,2,9,3,1,1171,0,0,0,0,0,0,24,35,172.0,71.0
Costas,Enrique Álvarez Costas,16/01/1947,Vigo,Pontevedra,España,13,12,8,1,4,6,6,1,956,0,0,0,0,1,0,23,28,179.0,73.0
Lapetra,Carlos Lapetra Coarasa,29/11/1938,Zaragoza,Zaragoza,España,13,13,11,0,2,6,2,5,1101,1,0,0,0,0,0,24,27,169.0,69.0
Marcelino,Marcelino Martínez Cao,29/04/1940,Ares,A Coruña,España,14,14,14,0,0,7,2,5,1290,4,0,0,0,0,0,21,27,173.0,70.0
Adelardo,Adelardo Rodríguez Sánchez,26/09/1939,Badajoz,Badajoz,España,14,13,12,1,1,3,4,7,1170,2,0,0,0,0,0,22,31,171.0,71.0
Urquiaga,Santiago Urquiaga Pérez,18/04/1958,Barakaldo,Bizkaia,España,14,12,11,2,1,4,5,5,1131,0,0,0,0,0,0,21,26,177.0,76.0
Tente Sánchez,José Vicente Sánchez Felip,08/10/1956,Barcelona,Barcelona,España,14,8,5,6,2,5,3,6,767,0,0,0,0,2,1,21,27,171.0,72.0
Engonga,Vicente Engonga Maté,20/10/1965,Barcelona,Barcelona,España,14,7,5,7,2,10,4,0,700,1,0,0,0,3,0,32,34,181.0,84.0
Raúl Bravo,Raúl Bravo Sanfélix,14/04/1981,Gandia,Valencia,España,14,12,9,2,3,8,4,2,1051,0,0,0,0,0,0,21,23,172.0,71.0
Uría,Francisco Javier Álvarez Uría,01/02/1950,Gijón,Asturias,España,14,12,10,2,2,4,5,5,1114,0,0,0,0,1,0,23,30,174.0,73.0
Lora,Enrique Lora Millán,07/05/1945,La Puebla del Río,Sevilla,España,14,7,5,7,3,7,6,1,836,1,0,0,0,0,0,24,27,162.0,68.0
Grosso,Ramón Moreno Grosso,08/12/1943,Madrid,Madrid,España,14,12,11,2,1,4,4,6,1123,1,0,0,0,0,0,23,26,176.0,74.0
Camarasa,Francisco José Camarasa Castellar,27/09/1967,Rafelbunyol,Valencia,España,14,7,6,7,1,10,3,1,777,0,0,0,0,1,0,25,27,183.0,75.0
Bartra,Marc Bartra Aregall,15/01/1991,Sant Jaume dels Domenys,Tarragona,España,14,9,8,5,1,12,1,1,989,1,0,0,0,0,0,22,27,184.0,75.0
Panizo,José Luis López Panizo,12/01/1922,Sestao,Bizkaia,España,14,14,14,0,0,7,3,4,1260,2,0,0,0,0,0,24,31,173.0,72.0
Villarroya,Francisco Javier Pérez Villarroya,06/08/1966,Zaragoza,Zaragoza,España,14,13,11,1,2,7,5,2,1211,0,0,0,0,1,0,23,25,180.0,75.0
Violeta,José Luis Violeta Lajusticia,25/02/1941,Zaragoza,Zaragoza,España,14,12,11,2,1,7,4,3,1093,1,0,0,0,0,0,25,32,175.0,68.0
Laporte,Aymeric Jean Louis Gerard Alphonse Laporte,27/05/1994,Agen,Extranjero,Francia,15,15,13,0,2,8,5,2,1385,1,0,0,0,2,0,27,27,191.0,86.0
Jiménez,Manuel Jiménez Jiménez,26/01/1964,Arahal,Sevilla,España,15,13,12,2,1,9,3,3,1242,0,0,0,0,1,0,24,26,178.0,73.0
Rexach,Carles Rexach Cerdà,13/01/1947,Barcelona,Barcelona,España,15,11,8,4,3,8,5,2,1044,2,0,0,0,1,0,22,31,182.0,77.0
Eric Garcia,Eric Garcia Martret,09/01/2001,Barcelona,Barcelona,España,15,12,6,3,6,8,5,2,1121,0,0,0,0,0,0,20,20,182.0,76.0
Marcial,Marcial Manuel Pina Morales,23/08/1946,Bárzana de Quirós,Asturias,España,15,11,9,4,2,7,6,2,1049,0,0,0,0,0,0,20,29,180.0,70.0
López Ufarte,Roberto López Ufarte,19/04/1958,Fez,Extranjero,Marruecos,15,11,8,4,3,7,3,5,1061,5,0,0,0,0,0,19,24,170.0,62.0
Sarabia,Manuel Sarabia López,09/01/1957,Gallarta,Bizkaia,España,15,2,2,13,0,8,4,3,545,2,0,0,0,1,0,26,28,183.0,84.0
Eloy,Eloy José Olaya Prendes,10/07/1964,Gijón,Asturias,España,15,1,1,14,1,10,4,1,534,4,0,0,0,2,0,21,26,167.0,65.0
Diego Tristán,Diego Tristán Herrera,05/01/1976,La Algaba,Sevilla,España,15,7,2,8,5,10,4,1,770,4,0,0,0,0,0,25,27,186.0,79.0
Vizcaíno,Juan Vizcaíno Morcillo,06/08/1966,La Pobla de Mafumet,Tarragona,España,15,14,9,1,5,6,4,5,1161,0,0,0,0,1,0,24,26,181.0,77.0
Eusebio,Eusebio Sacristán Mena,13/04/1964,La Seca,Valladolid,España,15,5,3,10,2,9,0,6,651,0,0,0,0,0,0,22,28,171.0,70.0
Amavisca,José Emilio Amavisca Gárate,19/06/1971,Laredo,Cantabria,España,15,11,4,4,7,10,5,0,894,1,0,0,0,1,0,23,26,182.0,68.0
Fabián,Fabián Ruiz Peña,03/04/1996,Los Palacios y Villafranca,Sevilla,España,15,9,5,6,4,8,7,0,900,1,0,0,0,2,0,25,25,189.0,70.0
Quique,Enrique Sánchez Flores,02/02/1965,Madrid,Madrid,España,15,9,6,6,3,7,3,5,949,0,0,0,0,1,0,22,26,176.0,72.0
Pereda,Jesús María Pereda Ruiz de Temiño,15/06/1938,Medina de Pomar,Burgos,España,15,13,11,2,2,11,1,3,1253,6,0,0,0,0,0,21,30,170.0,70.0
Miguel,Miguel González Pérez,27/04/1927,Santa Cruz de La Palma,Santa Cruz de Tenerife,España,15,14,14,1,0,6,4,5,1304,2,0,0,0,0,0,26,30,165.0,62.0
Del Sol,Luis del Sol Cascajares,06/04/1935,Arcos de Jalón,Soria,España,16,15,14,1,1,9,3,4,1348,3,0,0,0,0,0,25,31,169.0,68.0
Antonio López,Antonio López Guerrero,13/09/1981,Benidorm,Alicante,España,16,11,9,5,2,9,5,2,1096,1,0,0,0,1,0,23,25,176.0,73.0
Fran,Francisco Javier González Pérez,14/07/1969,Carreira,A Coruña,España,16,13,5,3,8,8,7,1,983,2,0,0,0,0,0,23,30,179.0,71.0
Riera,Albert Riera Ortega,15/04/1982,Manacor,Islas Baleares,España,16,10,7,6,3,14,1,1,1019,4,0,0,0,0,0,25,27,187.0,77.0
Gonzalvo III,Mariano Gonzalvo Falcón,22/06/1922,Mollet del Vallès,Barcelona,España,16,16,15,0,1,6,5,5,1426,1,0,0,0,0,0,24,31,169.0,71.0
Santamaría,José Emilio Santamaría Iglesias,31/07/1929,Montevideo,Extranjero,Uruguay,16,13,12,3,1,9,3,4,1258,0,0,0,0,0,0,29,32,179.0,81.0
Ufarte,José Armando Ufarte Ventoso,17/05/1941,Pontevedra,Pontevedra,España,16,12,12,4,0,8,5,3,1209,2,0,0,0,0,0,23,31,171.0,63.0
Nolito,Manuel Agudo Durán,15/10/1986,Sanlúcar de Barrameda,Cádiz,España,16,11,3,5,8,10,2,4,917,6,0,0,0,1,0,28,30,175.0,73.0
Churruca,José Ignacio Churruca Sistiaga,28/01/1949,Zarautz,Gipuzkoa,España,16,14,9,2,5,8,5,3,1218,0,0,0,0,0,0,22,28,173.0,72.0
Iñigo Martínez,Iñigo Martínez Berridi,17/05/1991,Ondarroa,Bizkaia,España,17,11,7,6,4,11,5,1,1096,0,0,0,0,3,0,22,29,182.0,77.0
Gayà,José Luis Gayà Peña,25/05/1995,Pedreguer,Alicante,España,17,16,13,1,3,12,5,0,1395,3,0,0,0,1,0,26,26,172.0,68.0
Gerard Moreno,Gerard Moreno Balagueró,07/04/1992,Santa Perpètua de Mogoda,Barcelona,España,17,9,2,8,7,7,9,1,834,5,0,0,0,0,0,29,29,177.0,75.0
Luque,Albert Luque Martos,11/03/1978,Terrassa,Barcelona,España,17,6,2,11,4,12,4,1,710,2,0,0,0,0,0,24,27,183.0,80.0
Pau Torres,Pau Francisco Torres,16/01/1997,Vila-real,Castellón,España,17,13,11,4,2,9,7,1,1275,1,0,0,0,1,0,24,24,191.0,80.0
Belsué,Alberto Belsué Arias,02/03/1968,Zaragoza,Zaragoza,España,17,17,16,0,1,10,7,0,1540,0,0,0,0,2,0,26,28,171.0,69.0
Javi Martínez,Javier Martínez Aginaga,02/09/1988,Aiegi,Navarra,España,18,12,11,6,1,15,1,2,1187,0,0,0,0,3,0,21,25,190.0,86.0
Luis García,Luis Javier García Sanz,24/06/1978,Badalona,Barcelona,España,18,7,0,11,7,12,3,3,756,4,0,0,0,2,0,26,28,176.0,74.0
Txetxu Rojo,José Francisco Rojo Arroita,28/01/1947,Bilbao,Bizkaia,España,18,16,9,2,7,8,8,2,1257,3,0,0,0,1,0,22,31,177.0,70.0
Sarabia,Pablo Sarabia García,11/05/1992,Boadilla del Monte,Madrid,España,18,11,3,7,8,12,4,2,946,7,1,0,0,2,0,29,29,177.0,72.0
Eizaguirre,Ignacio Eizaguirre Arregui,07/11/1920,Donostia/San Sebastián,Gipuzkoa,España,18,18,18,0,0,8,6,4,1620,0,0,0,31,0,0,24,32,181.0,84.0
Iago Aspas,Iago Aspas Juncal,01/08/1987,Moaña,Pontevedra,España,18,6,0,12,6,10,6,2,681,6,0,0,0,1,0,29,31,175.0,67.0
Miguel Ángel,Miguel Ángel González Suárez,24/12/1947,Ourense,Ourense,España,18,18,14,0,4,10,4,4,1444,0,0,0,9,1,0,27,30,174.0,73.0
Joaquín,Joaquín Alonso González,09/06/1956,Oviedo,Asturias,España,18,15,11,3,4,5,6,7,1338,1,0,0,0,2,0,23,31,183.0,72.0
Olivella,Ferran Olivella Pons,22/06/1936,Poble Sec,Barcelona,España,18,18,17,0,1,11,1,6,1606,0,0,0,0,0,0,20,29,174.0,73.0
Del Bosque,Vicente del Bosque González,23/12/1950,Salamanca,Salamanca,España,18,17,11,1,6,6,6,6,1340,1,0,0,0,0,0,24,29,184.0,80.0
Gárate,José Eulogio Gárate Ormaechea,20/09/1944,Sarandí,Extranjero,Argentina,18,17,9,1,8,9,6,3,1347,5,0,0,0,0,0,23,30,176.0,75.0
Calderé,Ramón María Calderé del Rey,16/01/1959,Vila-rodona,Tarragona,España,18,11,10,7,1,11,3,4,1177,7,0,0,0,2,0,26,29,177.0,76.0
Kubala,László Kubala Stecz,10/06/1927,Budapest,Extranjero,Hungría,19,19,18,0,1,9,5,5,1666,11,0,0,0,0,0,26,33,175.0,83.0
Saúl,Saúl Ñíguez Esclapez,21/11/1994,Elx,Alicante,España,19,10,5,9,5,12,5,2,1016,3,0,0,0,2,0,21,24,184.0,76.0
Tomás,Pedro Tomás Reñones Crego,09/08/1960,Santiago de Compostela,A Coruña,España,19,18,15,1,3,10,5,4,1530,0,0,0,0,2,0,25,29,171.0,70.0
Alcácer,Francisco Alcácer García,30/08/1993,Torrent,Valencia,España,19,9,3,10,6,14,2,3,970,12,0,0,0,0,0,21,26,175.0,70.0
Zarra,Pedro Telmo Zarraonandia Montoya,20/01/1921,Erandio,Bizkaia,España,20,19,19,1,0,8,6,6,1765,20,0,0,0,0,0,24,30,179.0,78.0
Víctor Valdés,Víctor Valdés Arribas,14/01/1982,L'Hospitalet de Llobregat,Barcelona,España,20,11,6,9,6,13,4,3,1260,0,0,0,9,0,0,28,32,183.0,78.0
Reija,Severino Reija Vázquez,25/11/1938,Lugo,Lugo,España,20,20,19,0,0,7,4,9,1796,0,0,0,0,0,1,23,28,165.0,68.0
Francisco,Francisco Javier López Alfaro,01/11/1962,Osuna,Sevilla,España,20,13,7,7,6,14,3,3,1234,1,0,0,0,0,0,19,23,182.0,77.0
Dani Olmo,Daniel Olmo Carvajal,07/05/1998,Terrassa,Barcelona,España,20,12,3,8,9,11,8,1,1207,4,0,0,0,1,0,23,22,179.0,68.0
Perico Alonso,Miguel Ángel Alonso Oyarbide,01/02/1953,Tolosa,Gipuzkoa,España,20,19,18,1,1,8,7,5,1733,1,0,0,0,0,0,27,29,178.0,75.0
Glaría,Jesús Glaría Jordán,02/01/1942,Villafranca,Navarra,España,20,19,18,1,1,5,6,9,1726,0,0,0,0,0,0,20,27,179.0,74.0
Oyarzabal,Mikel Oyarzabal Ugarte,21/04/1997,Eibar,Gipuzkoa,España,21,8,3,13,5,11,8,2,905,6,0,0,0,1,0,19,23,181.0,79.0
José María Peña,Anacleto José María Peña Salegui,19/04/1895,Getxo,Bizkaia,España,21,21,20,0,0,17,1,3,1870,1,0,0,0,0,1,26,35,175.0,78.0
Güiza,Daniel González Güiza,17/08/1980,Jerez de la Frontera,Cádiz,España,21,3,1,18,2,20,1,0,687,6,0,0,0,2,0,27,29,182.0,80.0
Paco Jémez,Francisco Manuel Jémez Martín,18/04/1970,Las Palmas de Gran Canaria,Las Palmas,España,21,16,14,5,2,11,4,6,1535,0,0,0,0,5,0,28,31,180.0,79.0
Negredo,Álvaro Negredo Sánchez,20/08/1985,Madrid,Madrid,España,21,10,2,11,8,17,3,1,873,10,0,0,0,0,0,24,28,185.0,82.0
Caminero,José Luis Pérez Caminero,08/11/1967,Madrid,Madrid,España,21,15,9,6,6,13,7,1,1359,8,0,0,0,4,0,25,28,187.0,86.0
Unai Simón,Unai Simón Mendibil,11/06/1997,Murgia,Araba/Álava,España,21,21,20,0,1,11,8,2,1964,0,0,0,16,0,0,24,23,190.0,88.0
Munitis,Pedro Manuel Munitis Álvarez,19/06/1975,Santander,Cantabria,España,21,8,4,13,4,15,3,3,1043,2,0,0,0,2,0,23,26,170.0,71.0
Reyes,José Antonio Reyes Calderón,01/09/1983,Utrera,Sevilla,España,21,10,3,11,7,15,6,0,1063,4,0,0,0,3,0,20,22,175.0,71.0
Nacho,José Ignacio Fernández Iglesias,18/01/1990,Alcalá de Henares,Madrid,España,22,11,10,11,1,10,11,1,1381,1,0,0,0,0,0,23,28,180.0,76.0
Tonono,Antonio Afonso Moreno,25/08/1943,Arucas,Las Palmas,España,22,21,20,1,1,10,9,3,1900,0,0,0,0,0,0,24,29,175.0,77.0
Villar,Ángel María Villar Llona,21/01/1950,Bilbao,Bizkaia,España,22,19,15,3,4,9,8,5,1670,3,0,0,0,1,0,23,29,179.0,73.0
Juanfran,Juan Francisco Torres Belén,09/01/1985,Crevillent,Alicante,España,22,21,17,1,4,16,2,4,1793,1,0,0,0,1,0,27,31,180.0,69.0
Monreal,Ignacio Monreal Eraso,26/02/1986,Ezkirotz,Navarra,España,22,17,14,5,3,15,5,2,1544,1,0,0,0,1,0,23,32,179.0,77.0
Rincón,Hipólito Rincón Povedano,28/04/1957,Madrid,Madrid,España,22,16,3,6,13,13,5,4,1247,10,0,0,0,5,0,25,29,180.0,75.0
Begiristain,Aitor Begiristain Mújika,12/08/1964,Olaberria,Gipuzkoa,España,22,12,6,10,6,12,4,6,1227,6,1,0,0,0,0,23,29,171.0,70.0
Benito,Gregorio Benito Rubio,21/10/1946,Puente del Arzobispo,Toledo,España,22,22,21,0,1,9,8,5,1963,0,0,1,0,5,0,24,31,180.0,79.0
Pizzi,Juan Antonio Pizzi Torroja,07/06/1968,Santa Fe,Extranjero,Argentina,22,17,5,5,11,13,8,1,1268,8,0,0,0,1,1,26,30,185.0,84.0
Marcos Alonso,Marcos Alonso Peña,01/10/1959,Santander,Cantabria,España,22,16,9,6,7,14,5,3,1351,1,0,0,0,2,0,21,25,176.0,74.0
Basora,Estanislao Basora Brunet,18/11/1926,Valls de Torroella,Barcelona,España,22,22,22,0,0,11,6,5,1980,13,0,0,0,0,0,22,30,171.0,69.0
Pablo Ibáñez,Pablo Ibáñez Tébar,03/08/1981,Madrigueras,Albacete,España,23,20,18,3,2,16,5,2,1899,0,0,1,0,0,0,23,26,192.0,80.0
Saura,Enrique Saura Gil,02/08/1954,Onda,Castellón,España,23,13,11,10,2,9,6,8,1418,4,0,0,0,0,0,24,27,171.0,69.0
Claramunt,José Claramunt Torres,16/07/1946,Puçol,Valencia,España,23,21,18,2,2,10,7,6,1859,4,0,0,0,1,1,21,28,165.0,69.0
Puchades,Antonio Puchades Casanova,04/06/1925,Sueca,Valencia,España,23,21,21,2,0,10,8,5,2042,0,0,0,0,0,0,23,28,179.0,80.0
Ferran Torres,Ferran Torres García,29/02/2000,Foios,Valencia,España,24,18,8,6,10,12,9,3,1625,13,0,0,0,0,0,21,21,184.0,77.0
Diego Costa,Diego da Silva Costa,07/10/1988,Lagarto,Extranjero,Brasil,24,21,5,3,16,14,6,4,1678,10,0,0,0,4,0,25,29,188.0,86.0
Llorente,Fernando Javier Llorente Torres,26/02/1985,Rincón de Soto,La Rioja,España,24,7,1,17,6,19,1,4,963,7,0,0,0,1,0,23,28,195.0,90.0
Zoco,Ignacio Zoco Esparza,31/07/1939,Garde,Navarra,España,25,24,24,1,0,11,4,10,2245,1,0,0,0,0,0,21,29,183.0,76.0
Dani,Daniel Ruiz-Bazán Justa,28/06/1951,Sopuerta,Bizkaia,España,25,17,13,8,4,9,9,7,1556,9,4,0,0,2,0,26,30,170.0,73.0
Urzaiz,Ismael Urzaiz Aranda,07/10/1971,Tudela,Navarra,España,25,15,2,10,13,14,6,5,1212,8,0,0,0,0,0,25,29,188.0,88.0
Rivilla,Feliciano Muñoz Rivilla,21/08/1936,Ávila,Ávila,España,26,26,26,0,0,14,4,8,2370,0,0,0,0,0,0,23,29,170.0,67.0
Juanito,Juan Gutiérrez Moreno,23/07/1976,Cádiz,Cádiz,España,26,19,18,7,1,17,6,3,1946,3,0,0,0,1,0,26,32,183.0,76.0
Kiko,Francisco Miguel Narváez Machón,26/04/1972,Jerez de la Frontera,Cádiz,España,26,14,5,12,9,17,7,2,1578,4,0,0,0,3,0,20,26,189.0,88.0
Asensio,Marco Asensio Willemsen,21/01/1996,Palma,Islas Baleares,España,26,13,8,13,5,17,7,2,1413,1,0,0,0,0,0,20,24,182.0,76.0
Chendo,Miguel Porlán Noguera,12/10/1961,Totana,Murcia,España,26,24,18,2,5,16,5,5,2131,0,0,0,0,4,1,24,28,175.0,73.0
Carvajal,Daniel Carvajal Ramos,11/01/1992,Leganés,Madrid,España,27,26,22,1,4,18,7,2,2342,0,0,0,0,3,0,22,29,173.0,73.0
Tendillo,Miguel Tendillo Belenguer,01/02/1961,Moncada,Valencia,España,27,25,22,2,3,9,10,8,2302,1,0,0,0,1,0,19,27,185.0,77.0
Rodrigo,Rodrigo Moreno Machado,06/03/1991,Río de Janeiro,Extranjero,Brasil,27,16,8,11,8,15,9,3,1458,8,0,0,0,1,0,23,30,182.0,69.0
Manolo,Manuel Sánchez Delgado,17/01/1965,Cáceres,Cáceres,España,28,24,7,4,17,15,6,7,1814,9,0,0,0,0,0,23,27,170.0,65.0
Aranzábal,Agustín Aranzábal Alkorta,15/03/1973,Donostia/San Sebastián,Gipuzkoa,España,28,23,20,5,3,20,5,3,2116,0,0,0,0,0,0,22,30,186.0,78.0
Sol,Juan Cruz Sol Oria,13/09/1947,Elgoibar,Gipuzkoa,España,28,27,20,1,7,12,11,5,2168,1,0,0,0,3,0,22,28,180.0,76.0
Andrinúa,Genar Andrinúa Kortabarría,09/05/1964,Getxo,Bizkaia,España,28,25,21,3,4,15,4,9,2179,2,0,0,0,1,0,22,26,182.0,76.0
Senna,Marcos Antônio Senna da Silva,17/07/1976,Río de Janeiro,Extranjero,Brasil,28,21,15,7,6,24,2,2,1919,1,0,0,0,1,0,29,33,177.0,70.0
Robert,Roberto Fernández Bonillo,05/07/1962,Betxí,Castellón,España,29,24,18,5,6,16,6,7,2122,1,0,0,0,4,0,20,28,179.0,72.0
Garay,Jesús Garay Vecino,10/09/1930,Bilbao,Bizkaia,España,29,28,25,1,3,16,5,8,2432,1,0,0,0,0,0,22,31,180.0,76.0
Zamora,Jesús María Zamora Ansorena,01/01/1955,Donostia/San Sebastián,Gipuzkoa,España,30,28,25,2,3,11,11,8,2450,3,0,0,0,1,0,23,27,180.0,74.0
Bakero,José María Bakero Escudero,11/02/1963,Goizueta,Navarra,España,30,19,12,11,7,16,6,8,1825,7,0,0,0,3,0,24,31,172.0,72.0
Di Stéfano,Alfredo Stéfano Di Stéfano Laulhé,04/07/1926,Buenos Aires,Extranjero,Argentina,31,31,31,0,0,20,5,6,2790,23,0,0,0,0,0,30,35,175.0,76.0
Rodri,Rodrigo Hernández Cascante,22/06/1996,Madrid,Madrid,España,31,18,15,13,3,17,11,3,1771,1,0,0,0,3,0,21,24,190.0,83.0
Luis Suárez,Luis Suárez Miramontes,02/05/1935,A Coruña,A Coruña,España,32,31,30,1,1,20,4,8,2820,14,0,0,0,0,0,21,36,174.0,72.0
Migueli,Miguel Bernardo Bianquetti,19/12/1951,Ceuta,Ceuta,España,32,31,27,1,4,14,10,8,2709,1,0,0,0,4,0,22,28,183.0,81.0
Satrústegui,Jesús María Satrústegui Azpiroz,12/01/1954,Pamplona,Navarra,España,32,28,18,4,10,13,12,7,2185,8,1,0,0,0,0,21,28,178.0,74.0
Gainza,Agustín Gainza Vicandi,28/05/1922,Basauri,Bizkaia,España,33,33,33,0,0,13,12,8,3000,10,3,0,0,0,0,22,32,172.0,71.0
Alexanko,José Ramón Alexanko Ventosa,19/05/1956,Barakaldo,Bizkaia,España,34,34,32,0,1,11,13,10,3025,4,0,0,0,4,1,22,26,182.0,81.0
Juanito,Juan Gómez González,10/11/1954,Fuengirola,Málaga,España,34,31,19,3,12,12,10,12,2589,8,2,0,0,5,0,21,27,169.0,70.0
Julio Alberto,Julio Alberto Moreno Casas,07/10/1958,Oviedo,Asturias,España,34,22,10,12,12,18,11,5,1876,0,0,0,0,2,0,25,29,177.0,68.0
Carrasco,Francisco José Carrasco Hidalgo,06/03/1959,Alcoi,Alicante,España,35,22,15,13,7,17,7,11,2166,5,2,0,0,5,0,20,28,182.0,76.0
Ramallets,Antonio Ramallets Simón,04/07/1924,Barcelona,Barcelona,España,35,35,33,0,2,18,8,9,3101,0,0,0,50,0,0,25,36,181.0,79.0
Quini,Enrique Castro González,23/09/1949,Oviedo,Asturias,España,35,24,13,11,11,16,12,7,2339,8,0,0,0,0,0,21,32,176.0,74.0
Ferrer,Albert Ferrer Llopis,06/06/1970,Barcelona,Barcelona,España,36,32,28,4,4,23,8,5,2870,0,0,0,0,6,0,21,29,170.0,65.0
Reina,José Manuel Reina Páez,31/08/1982,Madrid,Madrid,España,36,25,18,11,7,28,5,3,2415,0,0,0,21,0,0,22,35,188.0,92.0
Goikoetxea,Jon Andoni Goikoetxea Lasa,21/10/1965,Pamplona,Navarra,España,36,28,18,8,10,22,7,7,2433,4,0,0,0,3,0,24,30,175.0,75.0
Gallego,Francisco Fernández Rodríguez,04/03/1944,Puerto Real,Cádiz,España,36,33,30,3,3,18,10,8,2961,0,0,0,0,2,0,22,28,177.0,75.0
Maceda,Antonio Maceda Francés,16/05/1957,Sagunt,Valencia,España,36,34,32,2,2,19,10,7,3026,8,0,0,0,4,0,23,29,189.0,85.0
Amor,Guillermo Amor Martínez,04/12/1967,Benidorm,Alicante,España,37,25,17,12,8,17,13,7,2344,4,0,0,0,5,1,22,30,174.0,69.0
Isco,Francisco Román Alarcón Suárez,21/04/1992,Arroyo de la Miel,Málaga,España,38,25,14,13,11,27,7,4,2283,12,0,0,0,2,0,20,27,176.0,79.0
Alfonso,Alfonso Pérez Muñoz,26/09/1972,Getafe,Madrid,España,38,21,6,17,15,19,13,6,2028,11,0,0,0,3,0,19,27,178.0,69.0
Martín Vázquez,Rafael Martín Vázquez,25/09/1965,Madrid,Madrid,España,38,33,24,5,9,19,9,10,2859,1,0,0,0,4,0,21,27,180.0,73.0
Vicente,Vicente Rodríguez Guillén,16/07/1981,València,Valencia,España,38,28,13,10,15,23,12,3,2333,3,1,0,0,0,0,19,24,176.0,72.0
Azpilicueta,César Azpilicueta Tanco,28/08/1989,Zizur Nagusia,Navarra,España,38,28,23,10,5,25,6,7,2697,1,0,0,0,1,0,23,32,178.0,75.0
Goikoetxea,Andoni Goikoetxea Olaskoaga,23/08/1956,Alonsotegi,Bizkaia,España,39,38,33,1,5,22,10,7,3235,4,2,0,0,7,0,26,31,181.0,81.0
