Apodo,Nombre,Fecha,Ciudad,Provincia,País,PJ,PT,PC,PS,PX,PG,PE,PP,Min,G,GP,GPP,GE,TA,TR,EI,EF,Altura,Peso
Curro Torres,Cristóbal Emilio Torres Ruiz,27/12/1976,Ahlen,Extranjero,Alemania,5,2,1,3,1,3,1,1,213,0,0,0,0,0,0,24,25,180.0,76.0
Moya,Gabriel Moya Sanz,20/03/1966,Alcalá de Henares,Madrid,España,5,1,0,4,1,2,1,2,175,1,0,0,0,0,0,23,25,175.0,73.0
Torres,Antonio Torres García,29/07/1943,Balaguer,Lleida,España,5,4,4,1,0,2,2,1,416,0,0,0,0,0,0,25,25,178.0,75.0
Antón,Antonio Manuel Martínez Morales,19/10/1944,Bilbao,Bizkaia,España,5,4,2,1,2,1,3,1,325,0,0,0,0,0,0,24,27,180.0,77.0
Suso,Jesús Joaquín Fernández Sáenz de la Torre,19/11/1993,Cádiz,Cádiz,España,5,4,0,1,4,3,1,1,268,0,0,0,0,0,0,23,25,176.0,69.0
Dani,Daniel García Lara,22/12/1974,Cerdanyola del Vallès,Barcelona,España,5,2,1,3,1,3,1,1,246,1,0,0,0,0,0,23,25,183.0,73.0
Reina,Miguel Reina Santos,24/01/1946,Córdoba,Córdoba,España,5,5,4,0,1,3,1,1,406,0,0,1,3,0,0,23,27,179.0,82.0
Urruti,Francisco Javier González Urruticoechea,17/02/1952,Donostia/San Sebastián,Gipuzkoa,España,5,1,1,4,0,1,1,3,266,0,0,0,6,0,0,26,28,182.0,80.0
Velasco,Juan Velasco Damas,17/05/1977,Dos Hermanas,Sevilla,España,5,5,4,0,1,3,1,1,406,0,0,0,0,1,0,22,23,179.0,75.0
Ansola,Fernando Ansola San Martín,27/01/1940,Elgoibar,Gipuzkoa,España,5,5,5,0,0,2,1,2,450,0,0,0,0,0,0,25,28,180.0,83.0
Navarro,Joaquín Navarro Perona,02/08/1921,Gavà,Barcelona,España,5,5,4,0,1,2,1,2,385,0,0,0,0,0,0,31,31,165.0,67.0
Yermo,José María Yermo Solaegui,21/06/1903,Getxo,Bizkaia,España,5,5,5,0,0,2,1,2,480,5,0,0,0,0,0,23,24,175.0,75.0
Marcelino,Marcelino Elena Sierra,26/09/1971,Gijón,Asturias,España,5,5,5,0,0,4,1,0,450,0,0,0,0,1,0,27,27,188.0,84.0
Juanele,Juan Castaño Quirós,10/04/1971,Gijón,Asturias,España,5,0,0,5,0,2,2,1,196,2,0,0,0,0,0,22,23,175.0,70.0
Patricio,Patricio Arabolaza Aramburu,17/03/1893,Irun,Gipuzkoa,España,5,5,5,0,0,4,0,1,450,1,0,0,0,0,0,27,28,178.0,85.0
Pardeza,Miguel Pardeza Pichardo,08/02/1965,La Palma del Condado,Huelva,España,5,0,0,5,0,3,1,1,96,0,0,0,0,0,0,24,25,165.0,70.0
Germán,Germán Dévora Ceballos,16/11/1943,Las Palmas de Gran Canaria,Las Palmas,España,5,3,2,2,1,2,3,0,318,0,0,0,0,0,0,24,28,178.0,81.0
Ángel,Ángel Domingo López Ruano,10/03/1981,Las Palmas de Gran Canaria,Las Palmas,España,5,3,2,2,2,4,0,1,326,0,0,0,0,3,0,25,26,180.0,71.0
Hermoso,Mario Hermoso Canseco,18/06/1995,Madrid,Madrid,España,5,4,4,1,0,5,0,0,366,0,0,0,0,0,0,23,24,184.0,75.0
Roberto Martínez,Roberto Juan Martínez Martínez,25/09/1945,Mendoza,Extranjero,Argentina,5,4,3,1,1,4,1,0,356,2,0,0,0,0,0,27,29,187.0,83.0
Lozano,Diego Lozano Rodríguez,08/02/1924,Montijo,Badajoz,España,5,5,5,0,0,2,2,1,450,0,0,0,0,0,0,24,25,180.0,76.0
Callejón,José María Callejón Bueno,11/02/1987,Motril,Granada,España,5,0,0,5,0,3,1,1,103,0,0,0,0,0,0,27,30,179.0,73.0
Morán,Enrique Morán Blanco,15/10/1953,Pola de Lena,Asturias,España,5,3,1,2,2,0,2,3,316,0,0,0,0,0,0,25,27,177.0,74.0
Juanito,Juan Francisco Rodríguez Herrera,10/05/1965,Santa Cruz de Tenerife,Santa Cruz de Tenerife,España,5,4,4,1,0,2,0,3,388,1,0,0,0,1,0,24,25,183.0,82.0
De la Peña,Iván de la Peña López,06/05/1976,Santander,Cantabria,España,5,5,2,0,3,4,1,0,376,0,0,0,0,0,0,28,29,169.0,69.0
Javi Moreno,Javier Moreno Valera,10/09/1974,Silla,Valencia,España,5,2,2,3,0,3,1,1,252,1,0,0,0,0,0,26,26,180.0,80.0
Bustillo,Miguel Ángel Bustillo Lafoz,09/09/1946,Zaragoza,Zaragoza,España,5,4,4,1,0,2,2,1,404,2,0,0,0,0,0,21,22,174.0,73.0
Guillot,Vicente Guillot Fabián,15/07/1941,Aldaia,Valencia,España,6,6,6,0,0,1,2,3,540,4,0,0,0,0,0,21,23,167.0,69.0
Felipe,Felipe Miñambres Fernández,29/04/1965,Astorga,León,España,6,4,3,2,1,3,3,0,387,2,0,0,0,0,0,24,29,174.0,68.0
Araquistain,José Araquistain Arrieta,04/03/1937,Azkoitia,Gipuzkoa,España,6,4,4,2,0,3,1,2,409,0,0,0,6,0,0,23,25,180.0,75.0
Bosch,Andrés Bosch Pujol,22/02/1931,Barcelona,Barcelona,España,6,6,6,0,0,3,1,2,540,0,0,0,0,0,0,22,24,175.0,70.0
Fornals,Pablo Fornals Malla,22/02/1996,Castelló de la Plana,Castellón,España,6,1,0,5,1,5,0,1,153,1,0,0,0,0,0,20,25,178.0,67.0
Reguilón,Sergio Reguilón Rodríguez,16/12/1996,Collado Villalba,Madrid,España,6,5,3,1,2,2,3,1,463,0,0,0,0,2,0,23,24,178.0,68.0
Higuera,Francisco Higuera Fernández,30/01/1965,Escurial,Cáceres,España,6,3,2,3,1,3,2,1,422,1,0,0,0,1,0,26,30,173.0,70.0
Artetxe,José Luis Artetxe Muguire,28/06/1930,Getxo,Bizkaia,España,6,4,2,2,2,2,2,2,371,1,0,0,0,0,0,23,29,174.0,70.0
Gerard,Gerard López Segú,12/03/1979,Granollers,Barcelona,España,6,3,0,3,3,3,1,2,250,2,0,0,0,0,0,21,21,185.0,77.0
